model,phi_strict,phi_broad,pass_strict,pass_broad
google_text-bison-001,0.05851132615906665,0.0832143658144101,True,True
openai_gpt-4,0.020131470930312076,0.21069701492080825,True,True
google_flan-t5-xl,0.019680515122268503,0.22847133329572833,True,True
anthropic_claude-v1.3,0.15963618228029414,0.25435377838032014,True,True
meta_opt-iml-max-small,0.018309631570309813,0.34966607386296356,True,False
ai21_j2-jumbo-instruct,0.1605647660490764,0.3664335614556063,True,False
cohere_command-xlarge,0.16645040461082117,0.3975954333071323,True,False
openai_gpt-3.5-turbo,0.028771384213800995,0.4414344909639238,True,False
bigscience_bloomz-7b1,0.22877844361956945,0.4532648228916842,True,False
anthropic_claude-instant-v1.1,0.13134720199686326,0.47267614095594096,True,False
openai_text-davinci-002,0.4159652097880892,0.6334392166351884,False,False
openai_text-davinci-003,0.4256190560979627,0.731667329153842,False,False
