claim_id,manuscript_location,script,output,source_status,expected_value,interpretation_boundary
phi_harmonised,Appendix F.2,harmonised_crosscorpus.py,harmonised_crosscorpus.csv;harmonised_template_draws.csv,public-local,"ratio median 20.9; 95% draw range 10.9 to 68.6",Template-draw distribution is illustrative; no universal cross-corpus multiplier.
phi_moralchoice_broad,Appendix F.1,phi_behavioural.py,phi_moralchoice.csv,public-local,"dilemma median 0.382; clear-answer median 0.665",Broad numerator excludes estimated run noise; denominator retains run noise of the five-sample cell mean.
phi_openended,Appendix F.5,phi_openended.py,mtbench_winrates.csv,public-local,"beta 0.0107; disagreement 0.163; strict phi 0.0013",Broad phi is not identifiable with one released judgment per item-by-order cell.
phi_uncertainty,Appendix F.10,hierarchical_bootstrap.py,hierarchical_bootstrap.csv,public-local,"strict width 0.034 to 0.172 on dilemmas",Compound-cell resampling is a finite-pool sensitivity analysis rather than a population CI over all possible probes.
phi_pairwise,Appendix F.7; Appendix G,paired_ranking_and_rho.py,paired_ranking_high.csv;paired_ranking_low.csv,public-local,"5 of 11 models exceed GPT-4 at 97.5% broad paired-bootstrap level",Named comparisons use paired item and probe resampling on a common scenario panel.
probe_rho,Appendix F.7,paired_ranking_and_rho.py,probe_rho.csv,public-local,"median 0.435 dilemmas; 0.800 clear answer",Within-corpus correlation of condition-level probe disturbances.
mitigation,Appendix F.8,mitigation_efficacy.py,mitigation_high.csv;mitigation_low.csv,public-local,"dilemma variance reduction 0.884 order; 0.293 template",Applies only to the released MoralChoice 3-by-2 design.
interaction_verdict,Appendix F.12,interaction_changes_verdict.py,interaction_verdict_high.csv;interaction_verdict_low.csv,public-local,"8 of 12 dilemma reversals at K=5; 5 of 12 clear-answer reversals",Uses the conditional MoralChoice-scale threshold and corrected broad estimator.
contamination_ceiling,Appendix F.11,contamination_counterexample.py,contamination_phi_bias.csv,public-local,"47 cells; median phi 0.0014 to 0.0333",This is a ceiling and floor diagnostic; it is not a direct contamination detector.
pool_adequacy,Appendix E.4,pool_gaming.py,pool_adequacy.csv;pool_gaming.csv,public-local,"median ratio 0.893 MoralChoice; 1.007 PromptEval",Diagnoses the declared finite pool and does not certify a canonical population of probes.
structural_replication,Appendix H.2,structural_replication.py,structural_summary_high.csv;structural_summary_low.csv,public-local,"split-half 0.892 dilemmas; 0.384 clear answer",SVD and rank correlations are descriptive structural checks; they do not identify a latent mechanism.
variance_components,Appendix F.6,phi_variance_components.py,variance_components_high.csv;variance_components_low.csv,public-local,"joint probe interaction to joint probe main-effect ratio 3.2 on dilemmas",The joint main effect is form plus order; the joint interaction is scenario-by-form plus scenario-by-order plus the three-way term. Between-cell sums-of-squares shares and raw within-cell sampling variance use different displayed units.
