model,bench,persona,para,order,residual,framing_total,pct_order,pct_persona,pct_para,n_items,cultural
qwen25_7b_instruct,normad_none,0.020486633501698475,0.0045624627213033874,0.07825833644213477,0.017701115962443,0.10330743266513663,75.75286155431174,19.83074496498657,4.416393480701695,2633,True
qwen25_7b_instruct,normad_country,0.02393575001661611,0.0036229050333410695,0.09518010271199845,0.01640262164405159,0.12273875776195563,77.54690078955703,19.501378743817863,2.9517204666251176,2633,True
qwen25_7b_instruct,normad_value,0.012781713380486346,0.00249634105785599,0.1303545267811774,0.011582564906204003,0.14563258121951975,89.5091782962269,8.776685322372876,1.7141363814002049,2633,True
qwen25_7b_instruct,normad_cval,0.009987015834496703,0.0029110570665275286,0.13982456393841033,0.011150075640258167,0.15272263683943457,91.55457686696134,6.5393160052602965,1.9061071277783646,2633,True
qwen25_7b_instruct,normad_rot,0.014906684223557377,0.002482035711755364,0.12068204015233103,0.014026022054988268,0.13807076008764377,87.40593596770611,10.79640918475063,1.797654847543268,2633,True
qwen25_7b_instruct,dices350,0.00455195878323403,0.025392610541044955,0.2602913658625439,0.051530855464981734,0.2902359351868229,89.68268029766753,1.5683649856465791,8.748954716685892,350,True
qwen25_7b_instruct,dices990,0.005423948131616273,0.025495637844900942,0.18456003386878866,0.028515375502570196,0.2154796198453059,85.65080725559355,2.5171513368689613,11.83204140753748,990,True
qwen25_7b_instruct,globalopinions,0.044966652253225464,0.00813935371708826,0.1534307981525221,0.047221177868671,0.20653680412283584,74.28738853791432,21.771738186905402,3.94087327518027,2556,True
qwen25_7b_instruct,vital,0.06380673480832633,0.0003677250410443123,0.21250400231164285,0.049105282611334296,0.2766784621610135,76.80540098852212,23.061692012439295,0.13290699903858585,1857,False
qwen25_7b_instruct,scruples,0.007282149885111289,0.048495779311983116,0.08445001320800537,0.04184916539063696,0.14022794240509978,60.223384697495284,5.193080466141428,34.58353483636328,2500,False
qwen25_7b_instruct,d3code,0.0066816808379347925,0.0216215265943592,0.04154094293224111,0.028856104320723608,0.0698441503645351,59.47662433493418,9.566557547140787,30.956818117925025,4553,True
qwen25_7b_instruct,moralbench,0.14726743750709353,0.0033177664878709084,0.0,0.005090755627998685,0.15058520399496444,0.0,97.79675134086756,2.203248659132443,44,False
qwen3_8b,normad_none,0.016710903205493444,0.009209998723169735,0.17267727781966552,0.053427776331319836,0.1985981797483287,86.94806671364705,8.414429188963437,4.637504097389514,2633,True
qwen3_8b,normad_country,0.014054147146409226,0.013809334093830672,0.18910823595273177,0.054013393337934146,0.21697171719297167,87.15801229730853,6.47740974180043,6.3645779608910225,2633,True
qwen3_8b,normad_value,0.010260325957943113,0.013279618989904308,0.1417029496021146,0.03985306751914126,0.16524289454996202,85.75433756957702,6.2092388213647824,8.036423609058208,2633,True
qwen3_8b,normad_cval,0.007246328365343285,0.014320863747943165,0.11560994633885957,0.03424394163484844,0.13717713845214602,84.27785244929125,5.282460654237333,10.439686896471434,2633,True
qwen3_8b,normad_rot,0.009569144870069015,0.009205414786967108,0.13970866168322124,0.034361057992881756,0.15848322134025736,88.15359790250106,6.037954547582315,5.808447549916617,2633,True
qwen3_8b,dices350,0.03159279598178546,0.011685168822565562,0.36266248951383445,0.07767119162874296,0.4059404543181855,89.33883914648507,7.782618274605935,2.8785425789089887,350,True
qwen3_8b,dices990,0.04225199467420641,0.012874402489329275,0.26641229167484415,0.08430076054883162,0.3215386888383798,82.85543883919837,13.140563217089005,4.003997943712628,990,True
qwen3_8b,globalopinions,0.07353105967946996,0.003945445571715698,0.2006701441636504,0.07939699734708722,0.278146649414836,72.14544722570615,26.436076017512473,1.4184767567814003,2556,True
qwen3_8b,vital,0.04904663083526349,0.00581736618533189,0.2295235890393279,0.09219306258531298,0.2843875860599233,80.70801972029994,17.24640358420176,2.0455766954982737,1857,False
qwen3_8b,scruples,0.038295320123348686,0.0642879753650608,0.005397525453073986,0.040926207196413975,0.10798082094148347,4.998596422969401,35.46492774314203,59.536475833888574,2500,False
qwen3_8b,d3code,0.012026459652238862,0.13612067466621183,0.0029079447096358696,0.03841000585102038,0.15105507902808657,1.9250889995530558,7.961638714579541,90.11327228586741,4553,True
qwen3_8b,moralbench,0.11634955515463723,0.0026903564936491837,0.0,0.005243703991243136,0.11903991164828641,0.0,97.7399542251022,2.2600457748978107,44,False
qwen3_14b,normad_none,0.006871903909197381,0.022239522606846675,0.05372652293164966,0.024026457320550376,0.08283794944769371,64.85737912377243,8.295598762420479,26.847022113807096,2633,True
qwen3_14b,normad_country,0.013413179320936018,0.014178568947068731,0.039215451479859116,0.01848025135749206,0.06680719974786387,58.69943902432913,20.077445801588023,21.223115174082842,2633,True
qwen3_14b,normad_value,0.009689374175178303,0.009834527084792606,0.04940401365063205,0.019114904983617266,0.06892791491060296,71.67489937089681,14.05725704563249,14.267843583470697,2633,True
qwen3_14b,normad_cval,0.009324277450908608,0.009468352982688175,0.0281139311284616,0.012704758228572016,0.046906561562058385,59.93603067934593,19.8784074986447,20.185561822009362,2633,True
