model,phi_strict,phi_broad,pass_strict,pass_broad
anthropic_claude-v1.3,0.05921113994290706,0.23935221681494287,True,True
google_text-bison-001,0.057638934269107066,0.3250563739659399,True,True
cohere_command-xlarge,0.26411955134828763,0.5580706303557996,True,False
google_flan-t5-xl,0.5418914542105316,0.6272267474332894,False,False
openai_gpt-4,0.007375661659993804,0.6416792057393127,True,False
ai21_j2-jumbo-instruct,0.37588028609521246,0.6449278025332493,False,False
meta_opt-iml-max-small,0.4736386874403173,0.6859486334306357,False,False
bigscience_bloomz-7b1,0.4920522404973736,0.7160357055543934,False,False
anthropic_claude-instant-v1.1,0.00337202962304189,0.761992232509471,True,False
openai_text-davinci-002,0.7295869184113557,0.8651506137801472,False,False
openai_gpt-3.5-turbo,0.10940293215021209,0.9190850302343052,True,False
openai_text-davinci-003,0.5470285990456483,0.9776233887770068,False,False
